"genes"	"modules"
"LPAR5"	"M1"
"CSF2RB"	"M4"
"IL17RD"	"M1"
"SERPINB4"	"M1"
"HPGD"	"M6"
"SLITRK6"	"M1"
"ID4"	"M3"
"SCNN1B"	"M6"
"SCN9A"	"M2"
"RASSF6"	"M2"
"BZRAP1"	"M1"
"ULBP2"	"M1"
"CNTN1"	"M5"
"FUT3"	"M1"
"FLRT3"	"M6"
"TSPAN12"	"M6"
"MLPH"	"M6"
"WNT5B"	"Not.Correlated"
"ITGAM"	"M4"
"ZNF711"	"M1"
"TSHZ3"	"M3"
"FZD10"	"M2"
"HOXA10"	"M5"
"TMPRSS2"	"M6"
"FUT2"	"M1"
"ROR2"	"M3"
"TGM1"	"M1"
"EDIL3"	"M3"
"GGT1"	"M6"
"PLEKHG4B"	"M1"
"RASD1"	"M2"
"CD48"	"M4"
"S100P"	"M1"
"TMCC2"	"M2"
"LRG1"	"M1"
"TTC22"	"M2"
"CPA3"	"M3"
"SYT1"	"Not.Correlated"
"MST1R"	"M2"
"HS3ST1"	"M1"
"FAAH"	"M2"
"RAMP1"	"M2"
"C1orf51"	"M3"
"CLTCL1"	"M4"
"THRB"	"M1"
"SDR16C5"	"M6"
"BOC"	"M3"
"PLEKHH1"	"M4"
"SIX2"	"M5"
"ZNF91"	"M2"
"PLAG1"	"M2"
"AGPAT9"	"M2"
"KCNMA1"	"M4"
"MRAP2"	"M5"
"C18orf1"	"M3"
"BNIPL"	"M1"
"TNNT1"	"Not.Correlated"
"SERPINB2"	"M1"
"CCL20"	"M1"
"FAM83E"	"M1"
"PLCE1"	"M5"
"FAM50B"	"Not.Correlated"
"CCDC8"	"M3"
"TRO"	"M1"
"TGFB2"	"M3"
"RCOR2"	"M4"
"DGAT2"	"M2"
"B4GALNT1"	"M2"
"SNCA"	"M5"
"MANEAL"	"M1"
"VGLL3"	"M3"
"CD79A"	"M4"
"DYNC1I1"	"M2"
"GPR68"	"M3"
"INHBA"	"M3"
"HLF"	"M5"
"FZD8"	"Not.Correlated"
"TPRG1"	"M5"
"KCNG1"	"M2"
"NPR2"	"M2"
"CREB5"	"M2"
"BAI2"	"M1"
"CHIT1"	"M4"
"MS4A4A"	"M4"
"CIITA"	"M4"
"SEMA3B"	"M5"
"ATP8A1"	"M6"
"IL1B"	"M1"
"PLEKHH2"	"M2"
"ABAT"	"M2"
"GGT6"	"M1"
"CD200"	"M3"
"EPHX2"	"Not.Correlated"
"MYEF2"	"M1"
"FMO3"	"M4"
"HERC5"	"M4"
"IPW"	"M2"
