,logFC,t,P.Value,adj.P.Val,B,direction
PAICS,1.9314233036533,17.6938364456049,1.80004051880321e-49,2.49784346034778e-47,101.719270364962,up
UPK3B,-6.11322435598938,-17.6746914226108,2.13926285435766e-49,2.93732049181487e-47,101.558687150968,down
HEG1,-2.43513016591477,-17.641139590945,2.89513203127288e-49,3.93376064749202e-47,101.249708133487,down
CD36,-3.93477085568448,-17.612938887406,3.73347016042849e-49,4.86993847726293e-47,101.062312439376,down
GPIHBP1,-4.99573014781666,-17.6379976656632,2.97833417520793e-49,4.00509185375383e-47,101.05900447213,down
THSD1,-2.52372647601405,-17.6130530321695,3.72962920324521e-49,4.86993847726293e-47,101.025268355572,down
GPM6A,-6.1734578393814,-17.6359039934407,3.03510050191702e-49,4.03978070887812e-47,100.514203022997,down
PLAC9,-3.57995233491892,-17.5169208907531,8.87428920027124e-49,1.1461012705776e-46,100.094532248551,down
STX12,-1.10920969759678,-17.4764461455707,1.27828346715733e-48,1.63469897505884e-46,99.751318754394,down
ADPRH,-1.81248447049822,-17.429239324989,1.9564661920796e-48,2.453860097066e-46,99.4278009417321,down
SESN1,-1.93946088837736,-17.3948829300701,2.66681010793544e-48,3.31294009980094e-46,99.095578529724,down
PLEKHO2,-1.51344913747043,-17.3733053714506,3.23946819258706e-48,3.98637953812317e-46,98.8342276860728,down
RHOJ,-2.11204586244447,-17.3407420213311,4.34472128123898e-48,5.29649947593283e-46,98.6603952406726,down
PRKCE,-1.93381025354138,-17.3305506362773,4.76278075694504e-48,5.75238075866584e-46,98.5425821977107,down
